id_respuesta,grupo_interes,tema_id,tema_nombre,relevancia_num,relevancia_label
ad7e4c77609c75b8,Colaboradores,1,RENDICIÓN DE CUENTAS SOBRE LOS IMPACTOS (POSITIVOS Y NEGATIVOS) DE LA ORGANIZACIÓN.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,2,TRANSPARENCIA EN LAS DECISIONES Y ACTIVIDADES DE LA ORGANIZACIÓN.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,3,COMPORTAMIENTO ÉTICO.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,4,RESPETO A LOS INTERESES DE LOS GRUPOS DE INTERÉS,3,MEDIANAMENTE RELEVANTE
ad7e4c77609c75b8,Colaboradores,5,CUMPLIMIENTO DE LA LEY.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,6,RESPETO A LOS DERECHOS HUMANOS,3,MEDIANAMENTE RELEVANTE
ad7e4c77609c75b8,Colaboradores,7,"PARTICIPACIÓN INCLUSIVA DE TODOS LOS GRUPOS SOCIALES, ESPECIALMENTE LOS MÁS VULNERABLES (MUJERES, COMUNIDADES INDÍGENAS, ETC.).",3,MEDIANAMENTE RELEVANTE
ad7e4c77609c75b8,Colaboradores,8,"PROTECCIÓN DE LOS DERECHOS FUNDAMENTALES EN EL TRABAJO (LIBERTAD DE ASOCIACIÓN, NO DISCRIMINACIÓN, ELIMINACIÓN DEL TRABAJO INFANTIL Y FORZADO).",4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,9,ALTOS ESTÁNDARES LABORALES Y DE PROTECCIÓN SOCIAL.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,10,SALUD Y SEGURIDAD EN EL TRABAJO.,5,MUY RELEVANTE
ad7e4c77609c75b8,Colaboradores,11,DESARROLLO HUMANO Y CAPACITACIÓN EN EL ÁMBITO LABORAL.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,12,PREVENCIÓN DE LA CONTAMINACIÓN.,5,MUY RELEVANTE
ad7e4c77609c75b8,Colaboradores,13,"USO SOSTENIBLE DE LOS RECURSOS  (AGUA, SUELO, ENERGÍA, ETC.).",5,MUY RELEVANTE
ad7e4c77609c75b8,Colaboradores,14,ACCIONES FRENTE AL CAMBIO CLIMÁTICO.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,15,PROTECCIÓN Y RESTAURACIÓN DE ECOSISTEMAS Y BIODIVERSIDAD.,5,MUY RELEVANTE
ad7e4c77609c75b8,Colaboradores,16,"RELACIONES JUSTAS Y TRANSPARENTES CON PROVEEDORES (PAGO JUSTO, ANTICORRUPCIÓN, ETC.)",4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,17,RESPONSABILIDAD COMPARTIDA CON PROVEEDORES Y ORGANIZACIONES ALIADAS.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,18,RESPETO A LOS DERECHOS DE PROPIEDAD FÍSICA E INTELECTUAL.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,19,APOYO A LA EDUCACIÓN Y LA CULTURA EN LAS COMUNIDADES.,4,RELEVANTE
ad7e4c77609c75b8,Colaboradores,20,IMPULSO A PROYECTOS PRODUCTIVOS Y GENERACIÓN DE INGRESOS EN LAS COMUNIDADES.,3,MEDIANAMENTE RELEVANTE
